pt,Ridge,Jet
0.15,0.0128227,0
0.186167,0.0146242,0
0.222333,0.0163868,0
0.2585,0.0181591,0
0.294667,0.0199667,0
0.330833,0.0218211,0
0.367,0.0237237,0
0.403167,0.0256682,0
0.439333,0.0276406,0
0.4755,0.0296197,0
0.511667,0.0315754,0
0.547833,0.0334675,0
0.584,0.0352442,0
0.620167,0.0368414,0
0.656333,0.0381862,0
0.6925,0.039209,0
0.728667,0.0398655,0
0.764833,0.0401538,0
0.801,0.0401092,0
0.837167,0.0397849,0
0.873333,0.0392353,0
0.9095,0.0385082,0
0.945667,0.0376437,0
0.981833,0.0366746,0
1.018,0.0356281,0
1.05417,0.0345264,0
1.09033,0.0333878,0
1.1265,0.0322273,0
1.16267,0.0310576,0
1.19883,0.0298888,0
1.235,0.0287293,0
1.27117,0.0275859,0
1.30733,0.0264639,0
1.3435,0.0253677,0
1.37967,0.0243004,0
1.41583,0.0232646,0
1.452,0.0222619,0
1.48817,0.0212935,0
1.52433,0.0203602,0
1.5605,0.0194621,0
1.59667,0.0185993,0
1.63283,0.0177713,0
1.669,0.0169777,0
1.70517,0.0162178,0
1.74133,0.0154907,0
1.7775,0.0147955,0
1.81367,0.0141311,0
1.84983,0.0134966,0
1.886,0.0128908,0
1.92217,0.0123126,0
1.95833,0.011761,0
1.9945,0.0112348,0
2.03067,0.010733,0
2.06683,0.0102545,0
2.103,0.00979826,0
2.13917,0.00936326,0
2.17533,0.00894854,0
2.2115,0.00855317,0
2.24767,0.00817624,0
2.28383,0.00781687,0
2.32,0.00747423,0
2.35617,0.00714753,0
2.39233,0.00683599,0
2.4285,0.00653889,0
2.46467,0.00625552,0
2.50083,0.00598524,0
2.537,0.0057274,0
2.57317,0.00548139,0
2.60933,0.00524666,0
2.6455,0.00502264,0
2.68167,0.00480883,0
2.71783,0.00460472,0
2.754,0.00440986,0
2.79017,0.00422379,0
2.82633,0.0040461,0
2.8625,0.00387637,0
2.89867,0.00371424,0
2.93483,0.00355933,0
2.971,0.00341131,0
3.00717,0.00326984,0
3.04333,0.00313462,0
3.0795,0.00300535,0
3.11567,0.00288176,0
3.15183,0.00276356,0
3.188,0.00265052,0
3.22417,0.00254239,0
3.26033,0.00243895,0
3.2965,0.00233997,0
3.33267,0.00224525,0
3.36883,0.0021546,0
3.405,0.00206783,0
3.44117,0.00198475,0
3.47733,0.00190521,0
3.5135,0.00182904,0
3.54967,0.0017561,0
3.58583,0.00168622,0
3.622,0.00161929,0
3.65817,0.00155516,0
3.69433,0.0014937,0
3.7305,0.00143481,0
3.76667,0.00137837,0
3.80283,0.00132426,0
3.839,0.0012724,0
3.87517,0.00122266,0
3.91133,0.00117498,0
3.9475,0.00112925,0
3.98367,0.00108538,0
4.01983,0.00104331,0
4.056,0.00100295,0
4.09217,0.000964227,0
4.12833,0.000927071,0
4.1645,0.000891416,0
4.20067,0.000857197,0
4.23683,0.000824353,0
4.273,0.000792826,0
4.30917,0.00076256,0
4.34533,0.000733502,0
4.3815,0.000705601,0
4.41767,0.000678809,0
4.45383,0.000653078,0
4.49,0.000628366,0
4.52617,0.000604628,0
4.56233,0.000581825,0
4.5985,0.000559919,0
4.63467,0.000538872,0
4.67083,0.000518648,0
4.707,0.000499214,0
4.74317,0.000480538,0
4.77933,0.000462589,0
4.8155,0.000445336,0
4.85167,0.000428752,0
4.88783,0.000412809,0
4.924,0.000397482,0
4.96017,0.000382745,0
4.99633,0.000368575,0
5.0325,0.00035495,0
5.06867,0.000341846,0
5.10483,0.000329244,0
5.141,0.000317122,0
5.17717,0.000305463,0
5.21333,0.000294248,0
5.2495,0.000283459,0
5.28567,0.000273079,0
5.32183,0.000263092,0
5.358,0.000253482,0
5.39417,0.000244236,0
5.43033,0.000235337,0
5.4665,0.000226774,0
5.50267,0.000218532,0
5.53883,0.0002106,0
5.575,0.000202964,0
5.61117,0.000195614,0
5.64733,0.000188538,0
5.6835,0.000181727,0
5.71967,0.000175169,0
5.75583,0.000168854,0
5.792,0.000162774,0
5.82817,0.00015692,0
5.86433,0.000151282,0
5.9005,0.000145853,0
5.93667,0.000140624,0
5.97283,0.000135588,0
6.009,0.000130737,0
6.04517,0.000126065,0
6.08133,0.000121564,0
6.1175,0.000117229,0
6.15367,0.000113052,0
6.18983,0.000109028,0
6.226,0.000105151,0
6.26217,0.000101416,0
6.29833,9.78163e-05,0
6.3345,9.43481e-05,0
6.37067,9.10061e-05,0
6.40683,8.77854e-05,0
6.443,8.46816e-05,0
6.47917,8.16902e-05,0
6.51533,7.88072e-05,0
6.5515,7.60284e-05,0
6.58767,7.33499e-05,0
6.62383,7.07681e-05,0
6.66,6.82794e-05,0
6.69617,6.58802e-05,0
6.73233,6.35673e-05,0
6.7685,6.13375e-05,0
6.80467,5.91877e-05,0
6.84083,5.7115e-05,0
6.877,5.51165e-05,0
6.91317,5.31895e-05,0
6.94933,5.13314e-05,0
6.9855,4.95396e-05,0
7.02167,4.78118e-05,0
7.05783,4.61455e-05,0
7.094,4.45385e-05,0
7.13017,4.29887e-05,0
7.16633,4.14939e-05,0
7.2025,4.00522e-05,0
7.23867,3.86617e-05,0
7.27483,3.73204e-05,0
7.311,3.60266e-05,0
7.34717,3.47786e-05,0
7.38333,3.35746e-05,0
7.4195,3.24132e-05,0
7.45567,3.12927e-05,0
7.49183,3.02118e-05,0
7.528,2.91689e-05,0
7.56417,2.81627e-05,0
7.60033,2.71918e-05,0
7.6365,2.62551e-05,0
7.67267,2.53512e-05,0
7.70883,2.44791e-05,0
7.745,2.36375e-05,0
7.78117,2.28253e-05,0
7.81733,2.20416e-05,0
7.8535,2.12853e-05,0
7.88967,2.05554e-05,0
7.92583,1.9851e-05,0
7.962,1.91711e-05,0
7.99817,1.85149e-05,0
8.03433,1.78816e-05,0
8.0705,1.72703e-05,0
8.10667,1.66803e-05,0
8.14283,1.61108e-05,0
8.179,1.5561e-05,0
8.21517,1.50303e-05,0
8.25133,1.4518e-05,0
8.2875,1.40235e-05,0
8.32367,1.35461e-05,0
8.35983,1.30852e-05,0
8.396,1.26402e-05,0
8.43217,1.22106e-05,0
8.46833,1.17959e-05,0
8.5045,1.13954e-05,0
8.54067,1.10088e-05,0
8.57683,1.06354e-05,0
8.613,1.0275e-05,0
8.64917,9.92692e-06,0
8.68533,9.59082e-06,0
8.7215,9.26628e-06,0
8.75767,8.95288e-06,0
8.79383,8.65025e-06,0
8.83,8.35799e-06,0
8.86617,8.07575e-06,0
8.90233,7.80318e-06,0
8.9385,7.53994e-06,0
8.97467,7.28571e-06,0
9.01083,7.04017e-06,0
9.047,6.80303e-06,0
9.08317,6.57399e-06,0
9.11933,6.35276e-06,0
9.1555,6.13908e-06,0
9.19167,5.93269e-06,0
9.22783,5.73333e-06,0
9.264,5.54076e-06,0
9.30017,5.35475e-06,0
9.33633,5.17506e-06,0
9.3725,5.00149e-06,0
9.40867,4.83381e-06,0
9.44483,4.67183e-06,0
9.481,4.51535e-06,0
9.51717,4.36417e-06,0
9.55333,4.21812e-06,0
9.5895,4.07702e-06,0
9.62567,3.9407e-06,0
9.66183,3.809e-06,0
9.698,3.68175e-06,0
9.73417,3.55881e-06,0
9.77033,3.44002e-06,0
9.8065,3.32525e-06,0
9.84267,3.21435e-06,0
9.87883,3.1072e-06,0
9.915,3.00366e-06,0
9.95117,2.90361e-06,0
9.98733,2.80693e-06,0
10.0235,2.71351e-06,0
10.0597,2.62324e-06,0
10.0958,2.536e-06,0
10.132,2.4517e-06,0
10.1682,2.37023e-06,0
10.2043,2.2915e-06,0
10.2405,2.21542e-06,0
10.2767,2.14189e-06,0
10.3128,2.07083e-06,0
10.349,2.00215e-06,0
10.3852,1.93577e-06,0
10.4213,1.87162e-06,0
10.4575,1.80962e-06,0
10.4937,1.74969e-06,0
10.5298,1.69177e-06,0
10.566,1.63579e-06,0
10.6022,1.58168e-06,0
10.6383,1.52938e-06,0
10.6745,1.47883e-06,0
10.7107,1.42996e-06,0
10.7468,1.38273e-06,0
10.783,1.33707e-06,0
10.8192,1.29294e-06,0
10.8553,1.25028e-06,0
10.8915,1.20904e-06,0
10.9277,1.16917e-06,0
10.9638,1.13063e-06,0
11,1.09338e-06,0
