etaf,Ridge,Jet
-1,0.568669,0.0217023
-0.99,0.571289,0.022909
-0.98,0.57396,0.0241751
-0.97,0.576682,0.025503
-0.96,0.579457,0.0268952
-0.95,0.582286,0.0283545
-0.94,0.585171,0.0298834
-0.93,0.588114,0.0314849
-0.92,0.591115,0.0331616
-0.91,0.594177,0.0349167
-0.9,0.5973,0.0367532
-0.89,0.600488,0.0386741
-0.88,0.603741,0.0406827
-0.87,0.607062,0.0427823
-0.86,0.610451,0.0449762
-0.85,0.613912,0.0472679
-0.84,0.617446,0.049661
-0.83,0.621054,0.0521592
-0.82,0.62474,0.0547661
-0.81,0.628505,0.0574856
-0.8,0.632351,0.0603216
-0.79,0.63628,0.0632781
-0.78,0.640295,0.0663591
-0.77,0.644399,0.0695688
-0.76,0.648592,0.0729115
-0.75,0.652879,0.0763914
-0.74,0.657261,0.0800131
-0.73,0.661741,0.0837809
-0.72,0.666322,0.0876994
-0.71,0.671006,0.0917731
-0.7,0.675797,0.0960069
-0.69,0.680696,0.100405
-0.68,0.685708,0.104973
-0.67,0.690835,0.109716
-0.66,0.69608,0.114637
-0.65,0.701446,0.119743
-0.64,0.706937,0.125038
-0.63,0.712556,0.130527
-0.62,0.718306,0.136215
-0.61,0.724192,0.142107
-0.6,0.730216,0.148207
-0.59,0.736382,0.154522
-0.58,0.742694,0.161055
-0.57,0.749156,0.167812
-0.56,0.755771,0.174796
-0.55,0.762545,0.182014
-0.54,0.76948,0.189468
-0.53,0.776581,0.197164
-0.52,0.783852,0.205106
-0.51,0.791298,0.213297
-0.5,0.798922,0.221741
-0.49,0.806729,0.230441
-0.48,0.814724,0.239401
-0.47,0.822911,0.248623
-0.46,0.831295,0.258109
-0.45,0.839879,0.26786
-0.44,0.848669,0.277878
-0.43,0.857669,0.288163
-0.42,0.866883,0.298715
-0.41,0.876315,0.309533
-0.4,0.88597,0.320614
-0.39,0.895852,0.331956
-0.38,0.905964,0.343554
-0.37,0.916311,0.355404
-0.36,0.926895,0.367497
-0.35,0.937719,0.379827
-0.34,0.948787,0.392383
-0.33,0.960099,0.405153
-0.32,0.971658,0.418125
-0.31,0.983465,0.431282
-0.3,0.995518,0.444608
-0.29,1.00782,0.458082
-0.28,1.02036,0.471682
-0.27,1.03314,0.485383
-0.26,1.04616,0.499158
-0.25,1.0594,0.512976
-0.24,1.07286,0.526805
-0.23,1.08652,0.540609
-0.22,1.10038,0.554349
-0.21,1.1144,0.567985
-0.2,1.12857,0.581474
-0.19,1.14287,0.594769
-0.18,1.15725,0.607823
-0.17,1.17168,0.620586
-0.16,1.18612,0.633005
-0.15,1.2005,0.645029
-0.14,1.21477,0.656604
-0.13,1.22885,0.667676
-0.12,1.24266,0.678192
-0.11,1.25611,0.688098
-0.1,1.26909,0.697344
-0.09,1.28148,0.705879
-0.08,1.29315,0.713656
-0.07,1.30396,0.720631
-0.06,1.31377,0.726764
-0.05,1.32244,0.732018
-0.04,1.32982,0.736362
-0.03,1.33579,0.739769
-0.02,1.34022,0.742217
-0.01,1.34303,0.743693
7.5287e-16,1.34417,0.744185
0.01,1.34303,0.743693
0.02,1.34022,0.742217
0.03,1.33579,0.739769
0.04,1.32982,0.736362
0.05,1.32244,0.732018
0.06,1.31377,0.726764
0.07,1.30396,0.720631
0.08,1.29315,0.713656
0.09,1.28148,0.705879
0.1,1.26909,0.697344
0.11,1.25611,0.688098
0.12,1.24266,0.678192
0.13,1.22885,0.667676
0.14,1.21477,0.656604
0.15,1.2005,0.645029
0.16,1.18612,0.633005
0.17,1.17168,0.620586
0.18,1.15725,0.607823
0.19,1.14287,0.594769
0.2,1.12857,0.581474
0.21,1.1144,0.567985
0.22,1.10038,0.554349
0.23,1.08652,0.540609
0.24,1.07286,0.526805
0.25,1.0594,0.512976
0.26,1.04616,0.499158
0.27,1.03314,0.485383
0.28,1.02036,0.471682
0.29,1.00782,0.458082
0.3,0.995518,0.444608
0.31,0.983465,0.431282
0.32,0.971658,0.418125
0.33,0.960099,0.405153
0.34,0.948787,0.392383
0.35,0.937719,0.379827
0.36,0.926895,0.367497
0.37,0.916311,0.355404
0.38,0.905964,0.343554
0.39,0.895852,0.331956
0.4,0.88597,0.320614
0.41,0.876315,0.309533
0.42,0.866883,0.298715
0.43,0.857669,0.288163
0.44,0.848669,0.277878
0.45,0.839879,0.26786
0.46,0.831295,0.258109
0.47,0.822911,0.248623
0.48,0.814724,0.239401
0.49,0.806729,0.230441
0.5,0.798922,0.221741
0.51,0.791298,0.213297
0.52,0.783852,0.205106
0.53,0.776581,0.197164
0.54,0.76948,0.189468
0.55,0.762545,0.182014
0.56,0.755771,0.174796
0.57,0.749156,0.167812
0.58,0.742694,0.161055
0.59,0.736382,0.154522
0.6,0.730216,0.148207
0.61,0.724192,0.142107
0.62,0.718306,0.136215
0.63,0.712556,0.130527
0.64,0.706937,0.125038
0.65,0.701446,0.119743
0.66,0.69608,0.114637
0.67,0.690835,0.109716
0.68,0.685708,0.104973
0.69,0.680696,0.100405
0.7,0.675797,0.0960069
0.71,0.671006,0.0917731
0.72,0.666322,0.0876994
0.73,0.661741,0.0837809
0.74,0.657261,0.0800131
0.75,0.652879,0.0763914
0.76,0.648592,0.0729115
0.77,0.644399,0.0695688
0.78,0.640295,0.0663591
0.79,0.63628,0.0632781
0.8,0.632351,0.0603216
0.81,0.628505,0.0574856
0.82,0.62474,0.0547661
0.83,0.621054,0.0521592
0.84,0.617446,0.049661
0.85,0.613912,0.0472679
0.86,0.610451,0.0449762
0.87,0.607062,0.0427823
0.88,0.603741,0.0406827
0.89,0.600488,0.0386741
0.9,0.5973,0.0367532
0.91,0.594177,0.0349167
0.92,0.591115,0.0331616
0.93,0.588114,0.0314849
0.94,0.585171,0.0298834
0.95,0.582286,0.0283545
0.96,0.579457,0.0268952
0.97,0.576682,0.025503
0.98,0.57396,0.0241751
0.99,0.571289,0.022909
1,0.568669,0.0217023
1.01,0.566097,0.0205526
1.02,0.563573,0.0194575
1.03,0.561094,0.0184148
1.04,0.558661,0.0174223
1.05,0.556271,0.0164781
1.06,0.553924,0.0155799
1.07,0.551618,0.0147259
1.08,0.549352,0.0139141
1.09,0.547126,0.0131428
1.1,0.544937,0.0124102
1.11,0.542786,0.0117146
1.12,0.540671,0.0110543
1.13,0.53859,0.0104278
1.14,0.536544,0.00983357
1.15,0.534531,0.00927011
1.16,0.53255,0.00873603
1.17,0.5306,0.00822998
1.18,0.52868,0.00775066
1.19,0.52679,0.00729681
1.2,0.524929,0.00686723
1.21,0.523096,0.00646077
1.22,0.521289,0.00607633
1.23,0.519509,0.00571283
1.24,0.517755,0.00536927
1.25,0.516025,0.00504465
1.26,0.514319,0.00473806
1.27,0.512636,0.00444858
1.28,0.510976,0.00417537
1.29,0.509337,0.0039176
1.3,0.50772,0.00367448
1.31,0.506124,0.00344528
1.32,0.504547,0.00322926
1.33,0.502989,0.00302574
1.34,0.50145,0.00283408
1.35,0.49993,0.00265364
1.36,0.498426,0.00248383
1.37,0.496939,0.00232408
1.38,0.495469,0.00217385
1.39,0.494014,0.00203263
1.4,0.492574,0.00189991
1.41,0.491149,0.00177525
1.42,0.489737,0.00165819
1.43,0.488339,0.0015483
1.44,0.486955,0.00144519
1.45,0.485582,0.00134847
1.46,0.484222,0.00125779
1.47,0.482873,0.00117279
1.48,0.481535,0.00109315
1.49,0.480207,0.00101855
