pt, RidgeDis
0.150000, 0.077721
0.160000, 0.084473
0.170000, 0.091454
0.180000, 0.098670
0.190000, 0.106129
0.200000, 0.113837
0.210000, 0.121801
0.220000, 0.130028
0.230000, 0.138525
0.240000, 0.147300
0.250000, 0.156361
0.260000, 0.165716
0.270000, 0.175373
0.280000, 0.185341
0.290000, 0.195627
0.300000, 0.206241
0.310000, 0.217191
0.320000, 0.228488
0.330000, 0.240141
0.340000, 0.252159
0.350000, 0.264552
0.360000, 0.277331
0.370000, 0.290507
0.380000, 0.304089
0.390000, 0.318090
0.400000, 0.332521
0.410000, 0.347392
0.420000, 0.362718
0.430000, 0.378509
0.440000, 0.394778
0.450000, 0.411538
0.460000, 0.428803
0.470000, 0.446586
0.480000, 0.464901
0.490000, 0.483762
0.500000, 0.503184
0.510000, 0.523182
0.520000, 0.543772
0.530000, 0.564969
0.540000, 0.586790
0.550000, 0.609250
0.560000, 0.632368
0.570000, 0.656161
0.580000, 0.680645
0.590000, 0.705841
0.600000, 0.731766
0.610000, 0.758440
0.620000, 0.785883
0.630000, 0.814115
0.640000, 0.843156
0.650000, 0.873027
0.660000, 0.903751
0.670000, 0.935350
0.680000, 0.967847
0.690000, 1.001264
0.700000, 1.035626
0.710000, 1.070957
0.720000, 1.107283
0.730000, 1.144628
0.740000, 1.183020
0.750000, 1.222485
0.760000, 1.263051
0.770000, 1.304746
0.780000, 1.347598
0.790000, 1.391638
0.800000, 1.436895
0.810000, 1.483400
0.820000, 1.531185
0.830000, 1.580282
0.840000, 1.630724
0.850000, 1.682545
0.860000, 1.735779
0.870000, 1.790462
0.880000, 1.846630
0.890000, 1.904319
0.900000, 1.963567
0.910000, 2.024412
0.920000, 2.086894
0.930000, 2.151053
0.940000, 2.216930
0.950000, 2.284566
0.960000, 2.354004
0.970000, 2.425288
0.980000, 2.498461
0.990000, 2.573570
1.000000, 2.650659
1.010000, 2.729777
1.020000, 2.810971
1.030000, 2.894290
1.040000, 2.979783
1.050000, 3.067501
1.060000, 3.157496
1.070000, 3.249820
1.080000, 3.344526
1.090000, 3.441669
1.100000, 3.541304
1.110000, 3.643487
1.120000, 3.748274
1.130000, 3.855725
1.140000, 3.965896
1.150000, 4.078848
1.160000, 4.194642
1.170000, 4.313338
1.180000, 4.434999
1.190000, 4.559688
1.200000, 4.687467
1.210000, 4.818402
1.220000, 4.952558
1.230000, 5.090001
1.240000, 5.230796
1.250000, 5.375012
1.260000, 5.522715
1.270000, 5.673974
1.280000, 5.828858
1.290000, 5.987436
1.300000, 6.149777
1.310000, 6.315951
1.320000, 6.486028
1.330000, 6.660078
1.340000, 6.838172
1.350000, 7.020379
1.360000, 7.206771
1.370000, 7.397417
1.380000, 7.592386
1.390000, 7.791749
1.400000, 7.995573
1.410000, 8.203927
1.420000, 8.416878
1.430000, 8.634492
1.440000, 8.856835
1.450000, 9.083971
1.460000, 9.315961
1.470000, 9.552867
1.480000, 9.794747
1.490000, 10.041658
1.500000, 10.293653
1.510000, 10.550784
1.520000, 10.813100
1.530000, 11.080646
1.540000, 11.353462
1.550000, 11.631586
1.560000, 11.915050
1.570000, 12.203881
1.580000, 12.498103
1.590000, 12.797729
1.600000, 13.102770
1.610000, 13.413225
1.620000, 13.729090
1.630000, 14.050346
1.640000, 14.376968
1.650000, 14.708917
1.660000, 15.046145
1.670000, 15.388585
1.680000, 15.736158
1.690000, 16.088766
1.700000, 16.446293
1.710000, 16.808600
1.720000, 17.175524
1.730000, 17.546874
1.740000, 17.922429
1.750000, 18.301932
1.760000, 18.685088
1.770000, 19.071556
1.780000, 19.460945
1.790000, 19.852807
1.800000, 20.246629
1.810000, 20.641825
1.820000, 21.037726
1.830000, 21.433568
1.840000, 21.828484
1.850000, 22.221487
1.860000, 22.611461
1.870000, 22.997146
1.880000, 23.377126
1.890000, 23.749821
1.900000, 24.113480
1.910000, 24.466185
1.920000, 24.805857
1.930000, 25.130280
1.940000, 25.437144
1.950000, 25.724093
1.960000, 25.988806
1.970000, 26.229082
1.980000, 26.442934
1.990000, 26.628646
2.000000, 26.784070
2.010000, 26.896270
2.020000, 26.977135
2.030000, 27.027938
2.040000, 27.049574
2.050000, 27.043277
2.060000, 27.010575
2.070000, 26.953202
2.080000, 26.873011
2.090000, 26.771899
2.100000, 26.651741
2.110000, 26.514350
2.120000, 26.361440
2.130000, 26.194610
2.140000, 26.015337
2.150000, 25.824972
2.160000, 25.624742
2.170000, 25.415761
2.180000, 25.199034
2.190000, 24.975468
2.200000, 24.745880
2.210000, 24.511007
2.220000, 24.271515
2.230000, 24.028005
2.240000, 23.781021
2.250000, 23.531056
2.260000, 23.278557
2.270000, 23.023933
2.280000, 22.767555
2.290000, 22.509763
2.300000, 22.250867
2.310000, 21.991154
2.320000, 21.730884
2.330000, 21.470301
2.340000, 21.209625
2.350000, 20.949064
2.360000, 20.688807
2.370000, 20.429031
2.380000, 20.169897
2.390000, 19.911558
2.400000, 19.654154
2.410000, 19.397816
2.420000, 19.142663
2.430000, 18.888810
2.440000, 18.636360
2.450000, 18.385410
2.460000, 18.136050
2.470000, 17.888363
2.480000, 17.642427
2.490000, 17.398313
2.500000, 17.156088
2.510000, 16.915812
2.520000, 16.677542
2.530000, 16.441329
2.540000, 16.207220
2.550000, 15.975259
2.560000, 15.745485
2.570000, 15.517934
2.580000, 15.292637
2.590000, 15.069624
2.600000, 14.848921
2.610000, 14.630549
2.620000, 14.414530
2.630000, 14.200880
2.640000, 13.989614
2.650000, 13.780745
2.660000, 13.574281
2.670000, 13.370232
2.680000, 13.168602
2.690000, 12.969395
2.700000, 12.772613
2.710000, 12.578257
2.720000, 12.386324
2.730000, 12.196811
2.740000, 12.009713
2.750000, 11.825026
2.760000, 11.642740
2.770000, 11.462847
2.780000, 11.285338
2.790000, 11.110200
2.800000, 10.937423
2.810000, 10.766993
2.820000, 10.598896
2.830000, 10.433117
2.840000, 10.269641
2.850000, 10.108450
2.860000, 9.949529
2.870000, 9.792858
2.880000, 9.638420
2.890000, 9.486196
2.900000, 9.336166
2.910000, 9.188310
2.920000, 9.042608
2.930000, 8.899040
2.940000, 8.757583
2.950000, 8.618217
2.960000, 8.480920
2.970000, 8.345670
2.980000, 8.212444
2.990000, 8.081221
3.000000, 7.951978
3.010000, 7.824691
3.020000, 7.699339
3.030000, 7.575899
3.040000, 7.454346
3.050000, 7.334659
3.060000, 7.216814
3.070000, 7.100788
3.080000, 6.986559
3.090000, 6.874102
3.100000, 6.763396
3.110000, 6.654416
3.120000, 6.547141
3.130000, 6.441547
3.140000, 6.337612
3.150000, 6.235313
3.160000, 6.134628
3.170000, 6.035534
3.180000, 5.938009
3.190000, 5.842032
3.200000, 5.747579
3.210000, 5.654630
3.220000, 5.563162
3.230000, 5.473155
3.240000, 5.384587
3.250000, 5.297437
3.260000, 5.211684
3.270000, 5.127308
3.280000, 5.044288
3.290000, 4.962604
3.300000, 4.882236
3.310000, 4.803164
3.320000, 4.725369
3.330000, 4.648830
3.340000, 4.573530
3.350000, 4.499448
3.360000, 4.426567
3.370000, 4.354867
3.380000, 4.284331
3.390000, 4.214939
3.400000, 4.146676
3.410000, 4.079522
3.420000, 4.013461
3.430000, 3.948475
3.440000, 3.884548
3.450000, 3.821662
3.460000, 3.759801
3.470000, 3.698950
3.480000, 3.639091
3.490000, 3.580209
3.500000, 3.522289
3.510000, 3.465314
3.520000, 3.409271
3.530000, 3.354143
3.540000, 3.299917
3.550000, 3.246577
3.560000, 3.194110
3.570000, 3.142501
3.580000, 3.091736
3.590000, 3.041802
3.600000, 2.992685
3.610000, 2.944372
3.620000, 2.896850
3.630000, 2.850106
3.640000, 2.804127
3.650000, 2.758900
3.660000, 2.714414
3.670000, 2.670657
3.680000, 2.627616
3.690000, 2.585279
3.700000, 2.543636
3.710000, 2.502674
3.720000, 2.462382
3.730000, 2.422751
3.740000, 2.383767
3.750000, 2.345422
3.760000, 2.307704
3.770000, 2.270604
3.780000, 2.234110
3.790000, 2.198213
3.800000, 2.162903
3.810000, 2.128171
3.820000, 2.094007
3.830000, 2.060400
3.840000, 2.027344
3.850000, 1.994827
3.860000, 1.962841
3.870000, 1.931378
3.880000, 1.900429
3.890000, 1.869985
3.900000, 1.840038
3.910000, 1.810580
3.920000, 1.781602
3.930000, 1.753097
3.940000, 1.725057
3.950000, 1.697474
3.960000, 1.670340
3.970000, 1.643649
3.980000, 1.617392
3.990000, 1.591563
4.000000, 1.566154
